성별,연령별,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065
전체,0 - 4세,2290097,2232107,2169178,2114631,2086832,2052981,2035466,2031761,2029540,2030978,2035957,2043256,2050964,2056890,2058902,2055193,2044491,2026304,2000585,1967835,1929035,1885574,1839164,1791752,1745345,1701828,1662718,1628954,1600769,1577715,1558796,1542714,1528169,1514086,1499793,1485072,1470100,1455339,1441378,1428780,1417942,1409036,1401966,1396395,1391807,1387573,1383025,1377517,1370487,1361488,1350223
전체,5 - 9세,2251100,2297525,2315416,2296197,2281130,2276836,2218597,2155940,2101559,2073737,2039774,2022082,2018071,2015475,2016503,2021041,2027871,2035157,2040738,2042519,2038736,2028161,2010174,1984725,1952313,1913911,1870894,1824954,1778020,1732079,1689001,1650290,1616870,1588975,1566164,1547444,1531531,1517139,1503204,1489061,1474488,1459669,1445056,1431238,1418767,1408040,1399225,1392227,1386714,1382179,1377993
전체,10 - 14세,2488686,2326687,2266449,2270015,2243982,2244607,2290682,2308220,2288826,2273738,2269408,2211182,2148636,2094351,2066512,2032486,2014695,2010571,2007868,2008819,2013303,2020118,2027386,2032954,2034743,2030989,2020478,2002587,1977269,1945021,1906808,1864002,1818287,1771582,1725864,1682995,1644472,1611215,1583456,1560756,1542131,1526295,1511976,1498113,1484040,1469537,1454789,1440249,1426500,1414090,1403415
전체,15 - 19세,3222268,3130685,2978019,2808144,2670349,2492388,2330375,2270061,2273121,2246440,2246450,2291792,2308480,2288342,2272670,2267698,2208871,2146262,2092104,2064410,2030491,2012853,2008817,2006155,2007134,2011634,2018448,2025708,2031270,2033060,2029323,2018852,2001030,1975814,1943695,1905640,1863013,1817492,1770987,1725470,1682792,1644448,1611350,1583727,1561143,1542612,1526857,1512605,1498803,1484791,1470353
전체,20 - 24세,3511968,3559433,3525627,3464886,3379040,3307661,3210268,3053534,2879903,2738378,2557012,2391634,2327063,2325015,2292953,2287346,2326789,2339030,2316197,2298922,2293328,2235039,2173217,2119827,2092652,2059215,2041920,2038033,2035465,2036501,2041014,2047801,2055011,2060525,2062293,2058581,2048206,2030559,2005602,1973820,1936179,1894024,1849017,1803050,1758071,1715916,1678055,1645384,1618127,1595844,1577557
전체,25 - 29세,3269454,3282024,3376535,3486667,3569593,3625025,3669978,3632000,3566942,3476673,3400429,3298060,3136758,2958433,2811807,2625245,2454462,2385109,2379275,2344850,2338167,2377615,2389974,2367256,2350242,2344867,2286628,2224733,2171166,2143863,2110329,2092951,2089059,2086508,2087565,2092110,2098944,2106214,2111801,2113647,2110007,2099686,2082079,2057134,2025337,1987655,1945432,1900332,1854255,1809152,1766867
전체,30 - 34세,3871602,3693331,3498845,3352747,3290239,3301153,3318520,3411784,3520693,3602323,3656400,3699956,3660604,3594090,3502315,3424578,3320717,3157910,2978221,2830581,2643451,2472639,2403293,2397589,2363257,2356591,2396167,2408672,2386042,2369016,2363652,2305437,2243510,2189937,2162645,2129139,2111789,2107935,2105435,2106546,2111150,2118048,2125374,2131013,2132898,2129288,2118979,2101367,2076402,2044572,2006838
전체,35 - 39세,3892100,3969413,4062933,4091544,4042046,3866237,3689106,3495355,3349823,3287632,3298675,3316173,3409415,3518278,3599889,3653944,3697477,3658236,3591847,3500223,3422676,3319150,3156696,2977325,2829960,2643173,2472664,2403497,2397934,2363764,2357182,2396816,2409442,2386946,2369996,2364689,2306584,2244758,2191279,2164061,2130647,2113369,2109574,2107133,2108303,2112959,2119907,2127286,2132973,2134904,2131338
전체,40 - 44세,4398381,4234849,4086502,3949973,3842918,3875723,3951644,4045645,4074983,4026456,3852036,3676172,3483655,3339081,3277575,3289116,3307143,3400692,3509822,3591758,3646157,3689992,3651229,3585284,3494111,3416969,3313864,3151866,2972929,2825910,2639517,2469300,2400247,2394781,2360765,2354291,2394019,2406785,2384436,2367594,2362417,2304491,2242780,2189395,2162242,2128916,2111697,2107966,2105598,2106836,2111558
전체,45 - 49세,4354036,4447873,4515970,4556586,4486801,4395658,4231432,4084030,3948340,3841920,3874669,3950515,4044458,4073993,4025823,3852101,3676645,3484665,3340502,3279309,3291149,3309623,3403420,3512887,3595284,3650185,3694490,3656346,3590895,3500174,3423404,3320689,3159061,2980398,2833532,2647333,2477167,2408059,2402649,2368817,2362468,2402346,2415338,2393179,2376455,2371414,2313646,2251973,2198610,2171477,2138211
전체,50 - 54세,4289039,4176619,4173106,4127441,4295619,4342328,4435213,4503589,4544623,4476213,4386127,4223428,4077164,3942539,3836983,3869783,3945600,4039585,4069534,4022076,3849681,3675472,3484774,3341578,3281037,3293360,3312453,3406628,3516541,3599482,3654947,3699792,3662417,3597622,3507487,3431193,3328989,3167810,2989444,2842774,2656876,2486880,2417803,2412546,2378994,2372801,2412863,2426151,2404257,2387682,2382782
전체,55 - 59세,3884217,4139015,4232916,4344936,4298798,4246232,4134885,4133018,4090088,4257917,4306071,4399651,4468832,4510880,4444736,4356672,4196622,4052597,3920123,3816499,3850209,3926822,4021495,4052471,4006328,3835930,3663524,3474674,3332891,3273273,3286206,3306025,3400588,3510926,3594430,3650518,3695957,3659494,3595541,3506216,3430628,3329174,3168747,2991002,2844796,2659488,2489948,2421075,2416065,2382887,2376917
전체,60 - 64세,2750831,2993304,3169187,3390979,3630099,3813320,4063601,4158325,4270890,4228001,4178994,4072366,4072784,4033428,4200983,4251044,4345658,4416036,4459578,4396573,4311438,4155148,4014381,3885029,3784186,3819220,3896783,3992219,4024361,3979789,3811935,3641922,3455554,3315721,3257381,3271102,3291794,3386739,3497447,3581521,3638291,3684404,3649088,3586263,3498032,3423408,3322994,3163651,2986876,2841451,2657079
전체,65 - 69세,2105631,2212452,2289256,2360468,2452262,2661049,2898210,3072218,3290587,3525920,3708443,3955941,4051469,4164605,4125710,4081425,3981265,3984846,3950328,4117548,4169915,4265773,4337426,4382605,4323572,4242167,4090840,3954440,3829264,3732154,3768914,3847553,3943728,3977147,3934421,3769918,3603221,3420376,3283368,3226893,3241678,3263478,3358846,3469841,3554408,3611842,3658623,3624723,3563426,3476738,3403505
전체,70 - 74세,1779544,1730775,1758803,1797500,1888959,1990632,2091787,2168465,2239922,2330742,2534299,2763007,2932994,3145015,3373228,3553487,3795553,3890460,4002963,3968233,3929915,3838512,3845679,3817664,3983426,4038336,4135275,4207804,4254410,4200741,4124303,3980237,3850379,3731719,3640560,3679905,3759675,3856199,3890731,3850236,3690927,3529780,3353082,3221074,3167733,3184037,3207383,3303035,3413856,3498583,3556524
전체,75 - 79세,1350503,1401047,1495014,1579311,1585222,1597136,1553854,1585564,1626950,1713262,1809075,1900653,1975778,2046160,2133912,2327735,2541032,2702640,2902365,3116715,3291054,3521626,3612747,3721868,3692071,3662442,3584934,3596904,3578582,3739911,3797280,3894189,3966405,4013977,3968707,3900109,3768228,3649309,3541687,3460752,3503967,3584707,3680703,3716252,3678990,3528987,3378157,3213062,3090472,3042838,3061443
전체,80 - 84세,793916,867685,931356,989081,1054206,1102119,1146586,1228295,1300983,1307580,1319149,1283211,1318117,1361081,1437679,1522543,1598200,1668679,1734919,1815354,1990385,2176084,2320787,2497349,2685972,2847005,3055091,3136961,3237012,3212544,3194496,3137489,3154673,3149882,3300361,3359144,3452827,3521350,3567724,3534888,3478068,3366244,3265669,3176812,3112967,3161209,3241536,3334182,3369570,3336681,3202988
전체,85 - 89세,363551,391572,426825,461883,499347,548761,600922,646536,687744,735243,771208,804932,867137,921472,926776,935968,909196,944053,984247,1043862,1109413,1160859,1219757,1275103,1340275,1481286,1622114,1736216,1872828,2017562,2150496,2316460,2378724,2458948,2439438,2434723,2403976,2424095,2433555,2559695,2614153,2695755,2753273,2793591,2776418,2735518,2653742,2580641,2519927,2480946,2532101
전체,90 - 94세,120958,129036,139616,150897,171233,189214,204287,223703,243190,264452,292207,320706,345892,368462,395402,416401,436314,473702,505266,507671,512794,496169,523603,553133,589373,628834,653984,693573,730215,771763,862614,945560,1016117,1098935,1185905,1273985,1378940,1413499,1463372,1448762,1453573,1445958,1463544,1480490,1565888,1605989,1662918,1700434,1728074,1724511,1700849
전체,95 - 99세,23923,27001,31097,37491,38289,40047,42997,47226,52067,59407,65763,70954,78128,85381,93462,103976,114380,123626,131811,142113,150286,158051,173266,185445,185549,187250,179968,194583,208960,223591,239343,246467,264821,281236,299068,339331,371880,401052,434727,469912,509817,554813,565902,586613,578161,584457,586998,596744,609379,649521,668987
전체,100세 이상,3142,3274,3551,3879,4203,4710,5234,6099,7451,7477,7842,8520,9555,10805,12275,13560,14624,16238,17888,19759,22139,24369,26422,28243,30671,32690,34598,38330,41122,41087,41599,39982,44704,48780,51983,55530,56223,61698,66246,70839,81390,88528,95925,104195,112828,124339,136015,138237,144097,142379,146569
남자,0 - 4세,1175609,1144991,1111794,1083894,1069699,1052403,1043495,1041615,1040495,1041252,1043824,1047582,1051549,1054603,1055647,1053758,1048284,1038968,1025785,1008995,989101,966820,943024,918715,894921,872613,852563,835255,820805,808987,799288,791043,783586,776365,769037,761490,753814,746246,739090,732632,727077,722511,718888,716033,713683,711513,709182,706357,702753,698138,692362
남자,5 - 9세,1161732,1183766,1192239,1181053,1171974,1168359,1137716,1104684,1076886,1062691,1045349,1036361,1034335,1033034,1033592,1035948,1039476,1043235,1046119,1047052,1045131,1039724,1030513,1017473,1000862,981176,959125,935574,911513,887961,865878,846035,828903,814603,802911,793316,785159,777783,770638,763389,755919,748321,740829,733747,727355,721858,717340,713756,710931,708607,706462
남자,10 - 14세,1294946,1208844,1174811,1173983,1158674,1157957,1179818,1188118,1176858,1167792,1164175,1133556,1100597,1072867,1058675,1041314,1032287,1030213,1028862,1029384,1031714,1035235,1038985,1041862,1042799,1040894,1035521,1026362,1013394,996870,977284,955346,931915,907977,884544,862573,842831,825787,811561,799928,790384,782270,774933,767827,760613,753179,745620,738168,731123,724764,719296
남자,15 - 19세,1684718,1632065,1552681,1464762,1390661,1295764,1209778,1175709,1174664,1159088,1158076,1179603,1187548,1175996,1166649,1162760,1131941,1098977,1071320,1057185,1039894,1030933,1028894,1027569,1028107,1030446,1033966,1037714,1040590,1041530,1039638,1034292,1025174,1012264,995811,976312,954469,931141,907308,883979,862105,842455,825490,811331,799755,790257,782181,774877,767801,760621,753221
남자,20 - 24세,1877884,1902360,1878484,1836699,1784304,1738640,1683433,1601640,1511038,1434144,1336940,1248944,1212507,1208803,1190642,1186697,1204900,1210596,1197882,1187820,1183397,1152628,1119953,1092562,1078610,1061536,1052780,1050828,1049552,1050138,1052513,1056053,1059803,1062673,1063604,1061705,1056365,1047271,1034407,1018022,998615,976886,953688,929999,906824,885108,865613,848794,834765,823301,813894
남자,25 - 29세,1730403,1740971,1798846,1865847,1914470,1945444,1968168,1941544,1896892,1841647,1792974,1734548,1649838,1556674,1477089,1376774,1285280,1245715,1239358,1219286,1214574,1232952,1238662,1225857,1215991,1211998,1181481,1148908,1121562,1107645,1090544,1081730,1079784,1078522,1079107,1081479,1085020,1088785,1091686,1092669,1090839,1085580,1076585,1063827,1047550,1028252,1006622,983514,959902,936787,915114
남자,30 - 34세,2015092,1926821,1830845,1760951,1736144,1750517,1765299,1822516,1888898,1936825,1967040,1988964,1961524,1915968,1859767,1810165,1750807,1665053,1570879,1490531,1389733,1298105,1258484,1252215,1232188,1227456,1245939,1251773,1239018,1229108,1225104,1194578,1161938,1134547,1120615,1103516,1094708,1092782,1091556,1092180,1094594,1098183,1101989,1104929,1105940,1104127,1098869,1089858,1077067,1060745,1041385
남자,35 - 39세,2004556,2048507,2096427,2114604,2094020,2009581,1923133,1827637,1758125,1733601,1748202,1763243,1820646,1887237,1935403,1965852,1987997,1960780,1915385,1859308,1809814,1750607,1664979,1570889,1490605,1389896,1298322,1258723,1252509,1232564,1227874,1246413,1252336,1239653,1229783,1225817,1195338,1162717,1135344,1121429,1104364,1095580,1093683,1092491,1093151,1095600,1099225,1103070,1106045,1107086,1105301
남자,40 - 44세,2248961,2165060,2089384,2020967,1968341,1987057,2030744,2079393,2098393,2078732,1995454,1910108,1815730,1747176,1723448,1738737,1754508,1812422,1879423,1927949,1958688,1981033,1954139,1909037,1853234,1803986,1745033,1659648,1565763,1485641,1385136,1293711,1254172,1248034,1228201,1223578,1242185,1248213,1235635,1225830,1221930,1191548,1158981,1131651,1117769,1100755,1092008,1090152,1089008,1089716,1092212
남자,45 - 49세,2199587,2246279,2285324,2311942,2280451,2235674,2151654,2077113,2009760,1958071,1977217,2021239,2070216,2089688,2070628,1988249,1903676,1810124,1742231,1718975,1734584,1750676,1808750,1875942,1924748,1955801,1978443,1951987,1907267,1851808,1802856,1744213,1659138,1565519,1485587,1385310,1294036,1254546,1248484,1228801,1224273,1242973,1249145,1236708,1226990,1223177,1192913,1160404,1133121,1119277,1102325
남자,50 - 54세,2165419,2116304,2112972,2078175,2157191,2181645,2228042,2267463,2294581,2264353,2220666,2138121,2064797,1998590,1947873,1967336,2011532,2060702,2080586,2062165,1980897,1897370,1804884,1737803,1715082,1731055,1747594,1805891,1873324,1922463,1953889,1976897,1951011,1906811,1851835,1803304,1745099,1660451,1567191,1487542,1387617,1296595,1257209,1251278,1231801,1227398,1246217,1252578,1240330,1230730,1227032
남자,55 - 59세,1932408,2057135,2106396,2167198,2148458,2128770,2081247,2079278,2046742,2125629,2151210,2198221,2238282,2266185,2237720,2195656,2115240,2043735,1979237,1930031,1950181,1994902,2044542,2065131,2047664,1967910,1885787,1794740,1728760,1706742,1723156,1740219,1798749,1866431,1915951,1947826,1971269,1946088,1902565,1848245,1800294,1742690,1658660,1565943,1486716,1387300,1296687,1257494,1251751,1232554,1228321
남자,60 - 64세,1345931,1466021,1554147,1668682,1788075,1876904,1998974,2048834,2110062,2093755,2076675,2032595,2032415,2002724,2081513,2108504,2156337,2197261,2226205,2200018,2160122,2082522,2013478,1951302,1904154,1925274,1970646,2020834,2042248,2025927,1948071,1867762,1778590,1714078,1693009,1709991,1727691,1786465,1854374,1904299,1936680,1960629,1936338,1893715,1840264,1793092,1736300,1653110,1561170,1482586,1383927
남자,65 - 69세,1009632,1060248,1099994,1134248,1179160,1280182,1396459,1483186,1595132,1711777,1800069,1920121,1970510,2032099,2018639,2004822,1965228,1967362,1941332,2019932,2048528,2097257,2139027,2169030,2145634,2108443,2034481,1968666,1909537,1865080,1887419,1933494,1984202,2006489,1991478,1916043,1838173,1751596,1689157,1669440,1687171,1705655,1764668,1832712,1882960,1915818,1940245,1917013,1875567,1823309,1777238
남자,70 - 74세,796175,781399,801164,826674,877128,929275,976282,1015779,1050204,1094434,1191767,1302184,1386035,1493375,1605003,1691560,1807741,1857582,1918618,1907959,1897976,1864098,1868715,1847435,1925094,1955356,2004840,2047125,2077914,2058077,2024330,1955481,1894330,1839744,1799374,1823412,1870126,1921073,1944080,1930594,1858771,1784783,1702473,1643484,1625869,1644544,1664006,1723011,1790719,1840966,1874164
남자,75 - 79세,546349,573975,621058,663991,669733,680823,669123,690481,716888,763191,811069,852184,890297,923897,965972,1056672,1156862,1234905,1333731,1436066,1518392,1626861,1674080,1732705,1725116,1720162,1694608,1702298,1687762,1762582,1794237,1843702,1885628,1916659,1901989,1873293,1812521,1758753,1711399,1677645,1704055,1751081,1801552,1825005,1813479,1747665,1680415,1605626,1552657,1538573,1558516
남자,80 - 84세,266996,299555,329093,356305,386535,410657,433583,472322,507403,512917,522859,514482,536154,561792,600801,641182,673244,707675,738338,775544,854231,937563,1004827,1088784,1175148,1248601,1342965,1384271,1436913,1432139,1432829,1418057,1428647,1422851,1491112,1523030,1570304,1609507,1638926,1631080,1609414,1560918,1518501,1482321,1458501,1487294,1533125,1581038,1603727,1594477,1538476
남자,85 - 89세,96002,104356,116401,129370,143810,163268,183893,203115,220825,240934,257382,273232,300267,324389,328328,335621,330382,349298,370630,398450,427236,447396,474232,498263,526494,585733,644729,694580,755659,817694,874476,945172,975275,1016013,1013117,1018389,1014602,1026029,1028419,1083293,1111658,1151574,1183518,1207735,1206587,1192895,1160437,1132797,1110976,1099397,1128124
남자,90 - 94세,28260,29447,31404,33828,38559,42337,46231,52073,58393,65599,75075,84955,94341,102950,113034,121454,129701,144123,156624,158332,162152,159371,171921,185332,200294,215808,224803,241057,255478,271782,306328,337942,366079,400013,434009,468051,508912,524896,549073,547011,553261,556030,564907,570991,605637,624961,651159,670951,686035,688512,681772
남자,95 - 99세,4790,5434,6271,7406,7601,7784,8092,8778,9658,11156,12274,13422,15292,17314,19665,22698,25798,28790,31504,34816,37600,40367,45442,49643,49921,51197,50159,55644,61096,66286,71683,74002,80541,86177,92332,105807,116885,127288,139720,152007,165538,181176,186318,195838,194461,198230,201298,205507,209695,224424,232877
남자,100세 이상,444,445,505,564,669,780,848,992,1183,1208,1241,1295,1439,1622,1886,2068,2260,2609,2983,3429,3981,4533,5088,5588,6230,6782,7338,8385,9200,9215,9497,9320,10719,11970,12929,13983,14242,15866,17189,18544,21571,23712,25992,28656,31257,34536,38049,39045,41394,41149,42603
여자,0 - 4세,1114488,1087116,1057384,1030737,1017133,1000578,991971,990146,989045,989726,992133,995674,999415,1002287,1003255,1001435,996207,987336,974800,958840,939934,918754,896140,873037,850424,829215,810155,793699,779964,768728,759508,751671,744583,737721,730756,723582,716286,709093,702288,696148,690865,686525,683078,680362,678124,676060,673843,671160,667734,663350,657861
여자,5 - 9세,1089368,1113759,1123177,1115144,1109156,1108477,1080881,1051256,1024673,1011046,994425,985721,983736,982441,982911,985093,988395,991922,994619,995467,993605,988437,979661,967252,951451,932735,911769,889380,866507,844118,823123,804255,787967,774372,763253,754128,746372,739356,732566,725672,718569,711348,704227,697491,691412,686182,681885,678471,675783,673572,671531
여자,10 - 14세,1193740,1117843,1091638,1096032,1085308,1086650,1110864,1120102,1111968,1105946,1105233,1077626,1048039,1021484,1007837,991172,982408,980358,979006,979435,981589,984883,988401,991092,991944,990095,984957,976225,963875,948151,929524,908656,886372,863605,841320,820422,801641,785428,771895,760828,751747,744025,737043,730286,723427,716358,709169,702081,695377,689326,684119
여자,15 - 19세,1537550,1498620,1425338,1343382,1279688,1196624,1120597,1094352,1098457,1087352,1088374,1112189,1120932,1112346,1106021,1104938,1076930,1047285,1020784,1007225,990597,981920,979923,978586,979027,981188,984482,987994,990680,991530,989685,984560,975856,963550,947884,929328,908544,886351,863679,841491,820687,801993,785860,772396,761388,752355,744676,737728,731002,724170,717132
여자,20 - 24세,1634084,1657073,1647143,1628187,1594736,1569021,1526835,1451894,1368865,1304234,1220072,1142690,1114556,1116212,1102311,1100649,1121889,1128434,1118315,1111102,1109931,1082411,1053264,1027265,1014042,997679,989140,987205,985913,986363,988501,991748,995208,997852,998689,996876,991841,983288,971195,955798,937564,917138,895329,873051,851247,830808,812442,796590,783362,772543,763663
여자,25 - 29세,1539051,1541053,1577689,1620820,1655123,1679581,1701810,1690456,1670050,1635026,1607455,1563512,1486920,1401759,1334718,1248471,1169182,1139394,1139917,1125564,1123593,1144663,1151312,1141399,1134251,1132869,1105147,1075825,1049604,1036218,1019785,1011221,1009275,1007986,1008458,1010631,1013924,1017429,1020115,1020978,1019168,1014106,1005494,993307,977787,959403,938810,916818,894353,872365,851753
여자,30 - 34세,1856510,1766510,1668000,1591796,1554095,1550636,1553221,1589268,1631795,1665498,1689360,1710992,1699080,1678122,1642548,1614413,1569910,1492857,1407342,1340050,1253718,1174534,1144809,1145374,1131069,1129135,1150228,1156899,1147024,1139908,1138548,1110859,1081572,1055390,1042030,1025623,1017081,1015153,1013879,1014366,1016556,1019865,1023385,1026084,1026958,1025161,1020110,1011509,999335,983827,965453
여자,35 - 39세,1887544,1920906,1966506,1976940,1948026,1856656,1765973,1667718,1591698,1554031,1550473,1552930,1588769,1631041,1664486,1688092,1709480,1697456,1676462,1640915,1612862,1568543,1491717,1406436,1339355,1253277,1174342,1144774,1145425,1131200,1129308,1150403,1157106,1147293,1140213,1138872,1111246,1082041,1055935,1042632,1026283,1017789,1015891,1014642,1015152,1017359,1020682,1024216,1026928,1027818,1026037
여자,40 - 44세,2149420,2069789,1997118,1929006,1874577,1888666,1920900,1966252,1976590,1947724,1856582,1766064,1667925,1591905,1554127,1550379,1552635,1588270,1630399,1663809,1687469,1708959,1697090,1676247,1640877,1612983,1568831,1492218,1407166,1340269,1254381,1175589,1146075,1146747,1132564,1130713,1151834,1158572,1148801,1141764,1140487,1112943,1083799,1057744,1044473,1028161,1019689,1017814,1016590,1017120,1019346
여자,45 - 49세,2154449,2201594,2230646,2244644,2206350,2159984,2079778,2006917,1938580,1883849,1897452,1929276,1974242,1984305,1955195,1863852,1772969,1674541,1598271,1560334,1556565,1558947,1594670,1636945,1670536,1694384,1716047,1704359,1683628,1648366,1620548,1576476,1499923,1414879,1347945,1262023,1183131,1153513,1154165,1140016,1138195,1159373,1166193,1156471,1149465,1148237,1120733,1091569,1065489,1052200,1035886
여자,50 - 54세,2123620,2060315,2060134,2049266,2138428,2160683,2207171,2236126,2250042,2211860,2165461,2085307,2012367,1943949,1889110,1902447,1934068,1978883,1988948,1959911,1868784,1778102,1679890,1603775,1565955,1562305,1564859,1600737,1643217,1677019,1701058,1722895,1711406,1690811,1655652,1627889,1583890,1507359,1422253,1355232,1269259,1190285,1160594,1161268,1147193,1145403,1166646,1173573,1163927,1156952,1155750
여자,55 - 59세,1951809,2081880,2126520,2177738,2150340,2117462,2053638,2053740,2043346,2132288,2154861,2201430,2230550,2244695,2207016,2161016,2081382,2008862,1940886,1886468,1900028,1931920,1976953,1987340,1958664,1868020,1777737,1679934,1604131,1566531,1563050,1565806,1601839,1644495,1678479,1702692,1724688,1713406,1692976,1657971,1630334,1586484,1510087,1425059,1358080,1272188,1193261,1163581,1164314,1150333,1148596
여자,60 - 64세,1404900,1527283,1615040,1722297,1842024,1936416,2064627,2109491,2160828,2134246,2102319,2039771,2040369,2030704,2119470,2142540,2189321,2218775,2233373,2196555,2151316,2072626,2000903,1933727,1880032,1893946,1926137,1971385,1982113,1953862,1863864,1774160,1676964,1601643,1564372,1561111,1564103,1600274,1643073,1677222,1701611,1723775,1712750,1692548,1657768,1630316,1586694,1510541,1425706,1358865,1273152
여자,65 - 69세,1095999,1152204,1189262,1226220,1273102,1380867,1501751,1589032,1695455,1814143,1908374,2035820,2080959,2132506,2107071,2076603,2016037,2017484,2008996,2097616,2121387,2168516,2198399,2213575,2177938,2133724,2056359,1985774,1919727,1867074,1881495,1914059,1959526,1970658,1942943,1853875,1765048,1668780,1594211,1557453,1554507,1557823,1594178,1637129,1671448,1696024,1718378,1707710,1687859,1653429,1626267
여자,70 - 74세,983369,949376,957639,970826,1011831,1061357,1115505,1152686,1189718,1236308,1342532,1460823,1546959,1651640,1768225,1861927,1987812,2032878,2084345,2060274,2031939,1974414,1976964,1970229,2058332,2082980,2130435,2160679,2176496,2142664,2099973,2024756,1956049,1891975,1841186,1856493,1889549,1935126,1946651,1919642,1832156,1744997,1650609,1577590,1541864,1539493,1543377,1580024,1623137,1657617,1682360
여자,75 - 79세,804154,827072,873956,915320,915489,916313,884731,895083,910062,950071,998006,1048469,1085481,1122263,1167940,1271063,1384170,1467735,1568634,1680649,1772662,1894765,1938667,1989163,1966955,1942280,1890326,1894606,1890820,1977329,2003043,2050487,2080777,2097318,2066718,2026816,1955707,1890556,1830288,1783107,1799912,1833626,1879151,1891247,1865511,1781322,1697742,1607436,1537815,1504265,1502927
여자,80 - 84세,526920,568130,602263,632776,667671,691462,713003,755973,793580,794663,796290,768729,781963,799289,836878,881361,924956,961004,996581,1039810,1136154,1238521,1315960,1408565,1510824,1598404,1712126,1752690,1800099,1780405,1761667,1719432,1726026,1727031,1809249,1836114,1882523,1911843,1928798,1903808,1868654,1805326,1747168,1694491,1654466,1673915,1708411,1753144,1765843,1742204,1664512
여자,85 - 89세,267549,287216,310424,332513,355537,385493,417029,443421,466919,494309,513826,531700,566870,597083,598448,600347,578814,594755,613617,645412,682177,713463,745525,776840,813781,895553,977385,1041636,1117169,1199868,1276020,1371288,1403449,1442935,1426321,1416334,1389374,1398066,1405136,1476402,1502495,1544181,1569755,1585856,1569831,1542623,1493305,1447844,1408951,1381549,1403977
여자,90 - 94세,92698,99589,108212,117069,132674,146877,158056,171630,184797,198853,217132,235751,251551,265512,282368,294947,306613,329579,348642,349339,350642,336798,351682,367801,389079,413026,429181,452516,474737,499981,556286,607618,650038,698922,751896,805934,870028,888603,914299,901751,900312,889928,898637,909499,960251,981028,1011759,1029483,1042039,1035999,1019077
여자,95 - 99세,19133,21567,24826,30085,30688,32263,34905,38448,42409,48251,53489,57532,62836,68067,73797,81278,88582,94836,100307,107297,112686,117684,127824,135802,135628,136053,129809,138939,147864,157305,167660,172465,184280,195059,206736,233524,254995,273764,295007,317905,344279,373637,379584,390775,383700,386227,385700,391237,399684,425097,436110
여자,100세 이상,2698,2829,3046,3315,3534,3930,4386,5107,6268,6269,6601,7225,8116,9183,10389,11492,12364,13629,14905,16330,18158,19836,21334,22655,24441,25908,27260,29945,31922,31872,32102,30662,33985,36810,39054,41547,41981,45832,49057,52295,59819,64816,69933,75539,81571,89803,97966,99192,102703,101230,103966
